"Reg","Type","CN","Manufacturer","Owner","DateRegistered","Status"
"5Y-AZS","CESSNA 310R","310-RO524","CESSNA AIRCRAFT COMPANY","Z. BOSCOVIC AIR CHARTERS LTD,P. O. BOX 45646 NAIROBI","1980-04-31","EXPIRED"
"5Y-AZT","PIPER PA.32R-300","32R-7680081","PIPER AIRCRAFT COMPANY","AFRICAN MEDICAL RESEARCH FOUNDATIONP.O. BOX 30125 NAIROBI.","","EXPIRED"
"5Y-AZU","PIPER PA.34-200T","34-7670122","PIPER AIRCRAFT COMPANY","AFRICAN EXPRESS AIRWAYS (K) LTD. PAN AFRICAN BANK LTD.P.O. BOX 43356NAIROBI.","","EXPIRED"
"5Y-AZW","CESSNA FRA-150","FRA-150-0295","CESSNA AIRCRAFT COMPANY","LIGHT PLANE MAINTAINCE P.O. BOX 27622NAIROBI","","EXPIRED"
"5Y-AZX","CESSNA FRA 150","FRA. 150-0297","CESSNA AIRCRAFT COMPANY","C.J. AVIATION INVESTMENT LTD. P.O. BOX 31025NAIROBI.","","EXPIRED"
"5Y-AZY","CESSNA","210L-210-61242","CESSNA AIRCRAFT COMPANY","SIMON JAMES WISEMAN P.O. BOX 59177NAIROBI","1995-01-31","VALID"
"5Y-AZZ","CESSNA 402B","402B-0915","CESSNA AIRCRAFT COMPANY","SKYWAYS (K) LTD. & KENYA FINANCE CORP. P.O. BOX 80349MOMBASA.","","EXPIRED"
"5Y-BAC","CESSNA 188B","188-02330","CESSNA AIRCRAFT COMPANY","AIRSPRAY LTDP.O. BOX 335 KAJIADO","1997-05-31","VALID"
"5Y-BAD","CESSNA 185-A","185-0285","CESSNA AIRCRAFT COMPANY","MARCUS &ANNE DUNN/FARMLAND AVIATIONP.O BOX 2226 NAKURU","2004-09-31","VALID"
"5Y-BAE","CESSNA U206F","U206-03194","CESSNA AIRCRAFT COMPANY","OWNER: AVRO LEASING LTD, ORDINANCE HOUSE 31 PIER ROAD ST. HELIER JERSEY JE48PW, LESSEE: TROPIC AIR LTD, P. O. BOX 161, NANYUKI., ","2007-06-31","VALID"
"5Y-BAF","CESSNA 310R","310R-0633","CESSNA AIRCRAFT COMPANY","MOHAMED ASHRAF KHAN P.O. BOX 41937NAIROBI.","2002-06-31","EXPIRED"
"5Y-BAK","CESSNA 185F","185-02814","CESSNA AIRCRAFT COMPANY","KISIMA FARM LIMITED P. O. BOX 20139 NAIROBI.","2003-09-31","EXPIRED"
"5Y-BAL","CESSNA 185F","185-01326","CESSNA AIRCRAFT COMPANY","MINISTRY OF TOURISM AND WILDLIFEP.O. BOX 40241 NAIROBI.","","EXPIRED"
"5Y-BAM","CESSNA 182P","182-64538","CESSNA AIRCRAFT COMPANY","ALS LIMITED, ""ALS LIMITED, P. O. BOX 41937,, NAIROBI., ","2001-12-31","EXPIRED"
"5Y-BAO","PARTENAVIA P68","74","","CASPAIR LTD. & CREDIT FINANCE CORPORATION P.O. BOX 30103 NAIROBI.","","EXPIRED"
"5Y-BAT","PIPER PA.28-181","28-7690294","PIPER AIRCRAFT COMPANY","CMC AVIATION LTDP. O. BOX 44580NAIROBI","2001-12-31","VALID"
"5Y-BAU","PIPER PA.18A","18-7458","PIPER AIRCRAFT COMPANY","ALVANDAN HOLDINGS LTD.,, P.O. BOX 15062,, NAIROBI., FINANCIER: STANBIC BANK (K), P.O. BOX 30550, NAIROBI, ","1994-06-31","VALID"
"5Y-BAZ","PIPER PA.28-151","28-7715046","PIPER AIRCRAFT COMPANY","KENYA SCHOOL OF FLYING & KENYA COMMERCIAL FINANCE LTD P. O. BOX 74714 NAIROBI","1994-02-31","VALID"
"5Y-BBB","BRITTEN NORMAN BN2A ISLANDER","C-809","BRITTEN-NORMAN LTD","DESERT LOCUST CONTROL ORGANIZATIONP. O. BOX 30023NAIROBI","1977-04-31","VALID"
"5Y-BBD","CESSNA 150 FRA.","150-325","CESSNA AIRCRAFT COMPANY"," JONATHAN H.E. LEAKEYP.O. BOX 1141 NAKURU.","1996-01-31","VALID"
"5Y-BBI","BEECH 1900C","UC172","BEECH AIRCRAFT COMPANY","KNIGHT AVIATION LTD","","EXPIRED"
"5Y-BBL","DOUGLAS DC3","16207","BOEING AIRPLANE COMPANY","CABROAIR LTD., CASPAIR LTD. P.O. BOX 30103NAIROBI.","","EXPIRED"
"5Y-BBT","PARTENAVIA P.68B`VICTOR'","125","PARTENAVIA-NAPOLI-ITALY","AIR KENYA LTD. P.O. BOX 30357 NAIROBI.","","EXPIRED"
"5Y-BBV","CESSNA 402A","402-0134","CESSNA AIRCRAFT COMPANY","DIRECTORATE OF CIVIL AVIATION P.O. BOX 30163NAIROBI.","","EXPIRED"
"5Y-BBZ","CAMEROON A-140","362","","BALLOONS SAFARIS LTD.P.O. BOX 43747 NAIROBI.","","EXPIRED"
"5Y-BCA","CESSNA 182","SKYLANE,18265527","CESSNA AIRCRAFT COMPANY","KENYA WILDLIFE SERVICES P.O. BOX 54582 NRBI","1990-08-31","VALID"
"5Y-BCC","CESSNA R.182","R18200048","CESSNA AIRCRAFT COMPANY","BRIAN WALTER SHEPARD P.O. BOX 42730/35546NAIROBI.","1991-07-31","EXPIRED"
"5Y-BCD","CESSNA","U206,U206-04308","CESSNA AIRCRAFT COMPANY","AFRICAN MEDICAL & RESEARCH FOUNDATION P.O. BOX 30125NAIROBI.","1978-05-31","VALID"
"5Y-BCF","BELL","206-L1,45161","BELL HELICOPTER COMPANY","KENYA POLICE AIRWING; MINISTRY OF HOME AFFAIRS P. O. BOX 30083NAIROBI.","1978-06-31","EXPIRED"
"5Y-BCI","PARTENAVIA P.68B‘VICTOR'","153","PARTENAVIA-NAPOLI-ITALY","KENYA RANGELAND & ECOLOGICAL MONITORING UNIT P.O. BOX 47146 NAIROBI","1978-07-31","EXPIRED"
"5Y-BCJ","DHC-2MK 1 BEAVER","1572","THE -DE-HAVILLAND AIRCRAFT COMPANY OF CANADA","DESERT LOCUST CONTROL ORGANIZATION P.O. BOX 30023NAIROBI","1900-01-31","VALID"
"5Y-BCK","DHC-2MK 1 BEAVER","1579","THE -DE-HAVILLAND AIRCRAFT COMPANY OF CANADA","DESERT LOCUST CONTROL ORGANIZATIONP.O. BOX 30023 NAIROBI., , ","1978-08-31","EXPIRED"
"5Y-BCL","DHC-2MK 1 BEAVER","1552","THE -DE-HAVILLAND AIRCRAFT COMPANY OF CANADA","DESERT LOCUST CONTROL ORGANIZATION P.O. BOX 30023,, NAIROBI., ","1991-02-31","VALID"
"5Y-BCN","ROCKWELL GRAND ,COMMANDER","680FL","","INTEX CONSTRUCTION LTD. P.O. BOX 60293 NAIROBI.","","EXPIRED"
"5Y-BCP","PIPER PA.22-150","`TRI PACERI' 22-61788","PIPER AIRCRAFT COMPANY","1. A. C. HERD 2. WALSH 3. A. AUGSTER 4. MUNSHI 5. B. BAUMGARTNER 6. J. NIELSEN 7. P. CADANAU 8. R. DIAMOND 9. J. NICOLAS 10. G. MEISENP.O. BOX 10144 BAMBURIMOMBASA.","","EXPIRED"
"5Y-BCU","BELL-206B JET RANGER III","2540","BELL HELICOPTER COMPANY","ZAKHEM ENGINEERS S. A. L.P.O. BOX 41196NAIROBI.","","EXPIRED"
"5Y-BCY","CESSNA","R.172K,R172-2780","CESSNA AIRCRAFT COMPANY","HERMAN WINTERP.O. BOX 5244-80401DIANA","2007-04-31","VALID"
"5Y-BCZ","MURANE SOULVIER RALLYE 235E","12935","SOCATA GROUPE AEROSPATIA LE USINE MORANE SAULNIER.","THOMAS VAN DER HEYDERC/O E. E. C.EAST AFRICAN OFFICEP.O. BOX 24498 NAIROBI.","1996-07-31","EXPIRED"
"5Y-BDA","MURANE SOULVIER RALLYE 235E","12934","SOCATA GROUPE AEROSPATIA LE USINE MORANE SAULNIER.","PADDINGTON ENTERPRISESP.O. BOX 41736,NAIROBI","1996-07-31","EXPIRED"
"5Y-BDB","MURANE SOULVIER RALLYE 235E","12933","SOCATA GROUPE AEROSPATIA LE USINE MORANE SAULNIER.","MR.ADAM OGNENP.O. BOX 27763-00506,, NAIROBI., ","2004-12-31","EXPIRED"
"5Y-BDC","PARTENAVIA P68 'VICTOR","192","PARTENAVIA-NAPOLI-ITALY","KENYA RANGELAND & ECOLOGICAL MONITORING UNIT P.O BOX 47146N NAIROBI.","","EXPIRED"
"5Y-BDD","PIPER PA.18 SUPER CUB","18-8849","PIPER AIRCRAFT COMPANY","JUWERIYA ALI ABDI (Miss)P.O. BOX 14374NAIROBI.","","EXPIRED"
"5Y-BDF","CESSNA 182A","34385","CESSNA AIRCRAFT COMPANY","GALLMANN MEMORIAL FOUNDATIONP.O. BOX 45593 NAIROBI.","","EXPIRED"
"5Y-BDI","TWEENIE-TWO","LAF-0002","","ISRAEL LWANGA NAIROBI.","","EXPIRED"
"5Y-BDJ","PIPER PA. 25-235D PAWNCE","25-7856037","PIPER AIRCRAFT COMPANY","PETER WHITE FLYING SERVICES LTDP.O. BOX 442 GILGIL","2001-06-31","VALID"
"5Y-BDK","PARTENAVIA P.68 VICTOR","167","PARTENAVIA-NAPOLI-ITALY","C. J. SHETH P.O. BOX 40079NAIROBI.","","EXPIRED"
"5Y-BDM","BELL 212 HELICOPTER","31145","BELL HELICOPTER COMPANY","KENYA POLICE AIRWINGP.O. BOX 30083 NAIROBI.","","EXPIRED"
"5Y-BDN","CESSNA 150L","FRA.150-L0175","CESSNA AIRCRAFT COMPANY","C.J. AVIATION INVESTMENT P.O. BOX 30125,, NAIROBI., ","","VALID"
"5Y-BDS","WESLAND BELL 47","47G3B1 XT-569","","KIM MAKENZIE. P.O. BOX 41979 NAIROBI.","","EXPIRED"
"5Y-BDT","PIAGGIO P.149D","250","","ELEPHANT SOAP INDUSTRIESP.O. BOX 40063NAIROBI.","","EXPIRED"
"5Y-BDU","THRUSH 8-23","1588R","ROCKWELLCORPORATION OF NORTH AMERICA.","ALVADAN HOLDING LTD. P.O. BOX 15062NAIROBI.","1991-09-31","EXPIRED"
"5Y-BDX","CESSNA 182K","182-58700","CESSNA AIRCRAFT COMPANY","JAMES N. K. NDERITUP. O. BOX 73093 NAIROBI","1982-07-31","EXPIRED"
"5Y-BEC","CESSNA 150L","FRA.150-0206","CESSNA AIRCRAFT COMPANY","ALS LIMITEDP. O. BOX 41937 NAIROBI","2002-07-31","VALID"
"5Y-BEE","HOT AIR BALLOON","COLT 160A","","MARA BALLOON SAFARISP.O. BOX 48217 NAIROBI.","","EXPIRED"
"5Y-BEK","DHC 6 TWIN OTTER","181","","AIR KENYA AVIATION LTD.P.O. BOX 30337 NAIROBI.","","EXPIRED"
"5Y-BEN","AIRBUS A310-304","426","","KENYA AIRWAYS LTD. P.O. BOX 19002 NAIROBI.","","EXPIRED"
"5Y-BEQ","AYRE SR-2-T34","6040","","AERIAL CROP SPRAY & NATIONAL INDUSTRIAL CREDIT (EA) LTD. P.O. BOX 59535 NAIROBI.","","EXPIRED"
"5Y-BEW","HOT AIR BALLOON COLT","240A724","","MARA BALLOON SAFARIS P.O. BOX 48217 NAIROBI.","","EXPIRED"
"5Y-BEX","CESSNA 402B","402-B1239","","SUNBIRD AVIATION LTD. P.O. BOX 46247NAIROBI.","","EXPIRED"
"5Y-BEY","HOT AIR BALLOON","A-250-1247","CAMERON BALLOONS LTD","BALLOON SAFARIS LTD. P.O. BOX 43747 NAIROBI.","1986-10-31","EXPIRED"
"5Y-BFJ","HOT AIR BALLOON COLT 300A","1207","","TRANSWORLD SAFARIS (K) LTDP.O. BOX 44690NAIROBI.","","EXPIRED"
"5Y-BFK","CESSNA 402A","402A-0025","CESSNA AIRCRAFT COMPANY","AHMED MOHAMED LIBAN P.O. BOX 57090NAIROBI. ","","EXPIRED"
"5Y-BFR","PARTENAVIA P.68","363 - 43 – TC","PARTENAVIA VIA CAVA CASORIA,NAPLES-ITALY.","DEPARTMENT OF RESOURCES SURVEYS& REMOTE SENSING P.O. BOX 47146 NAIROBI.","1989-02-31","VALID"
"5Y-BFS","CESSNA 402B","402B-1316E","CESSNA AIRCRAFT COMPANY","SKYWAYS AIRLINES (K) LTD. P.O. BOX 93906MOMBASA.","","EXPIRED"
"5Y-BFU","THUNDER AX-7-77","1279","","TRANSWORLD SAFARIS (K) LTDP.O. BOX 44690 NAIROBI.","","EXPIRED"
"5Y-BFW","HELICOPTER MBB-BO105-CBS-4","S-816","MESSERSCHMITT BOLKON BLOHM","KENYA POLICE AIRWING P.O. BOX 30083 NAIROBI","1989-08-31","EXPIRED"
"5Y-BFZ","HOT AIR BALLOON COLT 180A","1413","","TRANSWORLD SAFARIS (K)P.O. BOX 44690NAIROBI.","","EXPIRED"
"5Y-BGG","PIPER PA.28-235","28-10800","PIPER AIRCRAFT COMPANY","SIMON OWEN EVANS P.O. BOX 161, NANYUKI., ","1989-10-31","VALID"
"5Y-BGH","DHC6-TWIN OTTER","574","DE-HAVILLAND AIRCRAFT OF CANADA","AIR KENYA AVIATION LIMITED P.O. BOX 30357, NAIROBI., ","2006-04-31","VALID"
"5Y-BGJ","CESSNA 206","U2060994","CESSNA AIRCRAFT COMPANY","RICHARD BONHAM P. O. BOX 2413 NAIROBI","1990-05-31","VALID"
"5Y-BGN","CESSNA 404","404-0239","CESSNA AIRCRAFT COMPANY","ALAKH K. PATEL P. O. BOX 45261NAIROBI.","2002-10-31","EXPIRED"
"5Y-BGP","CHRISTEN A-1 HUSKY","1092","CHRISTEN INDUSTRIES","KENYA WILDLIFE SERVICEP.O. BOX 40241NAIROBI. ","2006-06-31","VALID"
"5Y-BGR","CHRISTEN A-1 HUSKY","1097","CHRISTEN INDUSTRIES","KENYA WILDLIFE SERVICESP.O. BOX 40241NAIROBI.","1990-01-31","EXPIRED"
"5Y-BGS","CHRISTEN A-1 HUSKY","190","CHRISTEN INDUSTRIES","KENYA WILDLIFE SERVICESP.O. BOX 40241NAIROBI.","","EXPIRED"
"5Y-BGV","CHRISTEN A-1 HUSKY","88","CHRISTEN INDUSTRIES","KENYA WILDLIFE SERVICESP.O. BOX 40241 NAIROBI.","","EXPIRED"
"5Y-BGW","CESSNA","401401-0165","CESSNA AIRCRAFT COMPANY","AIRCRAFT LEASING SERVICES LTD. P.O. BOX 41937NAIROBI.","","EXPIRED"
"5Y-BGZ","HOT AIR BALLOON COLT 240-A","1794","","TRANSWORLD SAFARIS (K) LTDP.O. BOX 44690 NAIROBI.","","EXPIRED"
"5Y-BHA","HOT AIR BALLOON COLT 240A","1795","","TRANSWORLD SAFARIS (K) LTDP.O. BOX 44690NAIROBI","","EXPIRED"
"5Y-BHD","HOT AIR BALLOON COLT 300A","1740","","MARA BALLOON SAFARIS P.O. BOX 48217NAIROBI.","","EXPIRED"
"5Y-BHE","HOT AIR BALLOON COLT 300A","1741","","MARA BALLOON SAFARIS P.O. BOX 48217 NAIROBI.","","EXPIRED"
"5Y-BHJ","CESSNA U206","U206-03028
-1076","CESSNA AIRCRAFT COMPANY","KOOBI FOR A RESEARCH PROJECT P.O. BOX 24467,00500, NAIROBI., ","2004-11-31","VALID"
"5Y-BHL","PIPER PA. 18-150","18-7909022","PIPER AIRCRAFT COMPANY","WORLDWIDE FUND FOR NATURE PROJECT NO. 3698 NGARE SERGOI RHINO SANCTUARY P.O. BOX 62440 NAIROBI., ","1990-11-31","VALID"
"5Y-BHM","CESSNA 175A","56728","CESSNA AIRCRAFT COMPANY","OLDONYO LARO AVIATION LTDP.O. BOX 140-00502NAIROBI FINANCIER: CFC BANK LIMITED P.O. BOX 72833-00200 NAIROBI ","2008-11-31","VALID"
"5Y-BHN","HOT AIR BALLOON COLT 240A","1859","","MARA BALLOON SAFARIS P.O. BOX 48217 NAIROBI.","","EXPIRED"
"5Y-BHO","CESSNA 182G","182-55594","CESSNA AIRCRAFT COMPANY","DR. PHILIP HOWEL REESP.O. BOX 21007, NAIROBI., ","1991-10-31","EXPIRED"
"5Y-BHP","CESSNA 182J","182-56795","CESSNA AIRCRAFT COMPANY","LEONARD TIMOTHY BEN LLEWELYNP.O. BOX 111 NANYUKI.","","EXPIRED"
"5Y-BHS","HOT AIR BALLOON COLT 240A","1827","","ADVENTURES ALOFT (K) LTD.P.O. BOX 40683NAIROBI.","","EXPIRED"
"5Y-BHT","CESSNA 210","21061146","CESSNA AIRCRAFT COMPANY","DEREK OWEN SETONP.O. BOX 76035, NAIROBI., ","1991-07-31","VALID"
"5Y-BIA","PA 34-200","34-7450124","PIPER AIRCRAFT COMPANY","BRIGITTA BAUMGARTNER P.O BOX 93920NAIROBI","1995-08-31","VALID"
"5Y-BIB","PIPER PA 23 AZTEC","27-3646","PIPER AIRCRAFT COMPANY","KISHOR AMBALAL PATELP.O. BOX 42339 NAIROBI.","1992-08-31","EXPIRED"
"5Y-BIC","CESSNA T337H","T337H-01897","CESSNA AIRCRAFT COMPANY","WILKEN LTD. P.O. BOX 49428 NAIROBI.","","EXPIRED"
"5Y-BID","CESSNA A188B","188-03384T","CESSNA AIRCRAFT COMPANY","AIRSPRAY (EA) LTD.,, P.O. BOX 356, NAIVASHA., ","1992-12-31","VALID"
"5Y-BIE","CESSNA 401","401A-0099","CESSNA AIRCRAFT COMPANY","PAUL DON PHILIP OTIENO NYAMONDIP.O. BOX 51431 NAIROBI.","2008-02-31","EXPIRED"
"5Y-BIF","CESSNA 185","185-02272","CESSNA AIRCRAFT COMPANY","KISIMA FARM LTD.,, P.O. BOX 20139, NAIROBI.","1993-02-31","VALID"
"5Y-BIH","CESSNA 206","U206-04842","CESSNA AIRCRAFT COMPANY","DEREK OWEN SETON, P.O. BOX 76035, NAIROBI., ","1993-12-31","VALID"
"5Y-BIL","DOUGLAS DC3 DAKOTA","42963","","BRANTON AIR SERVICES P.O. BOX 55398NAIROBI.","","EXPIRED"
"5Y-BIN","CESSNA 402B","1033","CESSNA AIRCRAFT COMPANY","AFRICAN LEASING SERVICES & FALCON AIR CHARTERS P.O. BOX 14937 NAIROBI.","","EXPIRED"
"5Y-BIO","DHC 6-300 TWIN-OTTER","579","DE-HAVILLAND AIRCRAFT OF CANADA","AIR KENYA AVIATION LTD., P.O. BOX 30357-00100, NAIROBI., ","2008-12-31","VALID"
"5Y-BIR","BEECH KINGAIR 200","BB-051","BEECH AIRCRAFT COMPANY","OWNER:TAWAKAL AIRLINES LTDP.O.BOX 10950,NAIROBI. FINANCIER: STANBIC BANK (K) LTDP. O. BOX 30550NAIROBI","2004-04-31","EXPIRED"
"5Y-BIW","BEECH KINGAIR 200","BB-782","BEECH AIRCRAFT COMPANY","ABDULLAH SEIKH AHAMED P.O. BOX 70537 NAIROBI","","EXPIRED"
"5Y-BIX","CESSNA F406","0055","CESSNA AIRCRAFT COMPANY","DAVID SETONP. O. BOX 42730 NAIROBI","1997-04-31","VALID"
"5Y-BJA","CESSNA 401","401-0024","CESSNA AIRCRAFT COMPANY","1.PETER KAMAU KIRORI 2.MOSES KARIUKI WACHIRA 3. AHMED MOHAMMED LEBAN P.O. BOX 74149NAIROBI ","","EXPIRED"
"5Y-BJD","CESSNA 180","31209","CESSNA AIRCRAFT COMPANY","ALASTAIR MACHEAD DAVIDSONP.O. BOX 356NAIVASHA","1994-02-31","EXPIRED"
"5Y-BJE","PIPER PA 25-235","25-7405654","PIPER AIRCRAFT COMPANY","FARMLAND AVIATIONP.O BOX 2226 NAKURU","1994-04-31","VALID"
"5Y-BJF","G-164B","GRUMAN ACFT KNG","","FARMLAND AVIATION P.O BOX 2226NAKURU","2005-08-31","VALID"
"5Y-BJG","PIPER","PA28","PIPER AIRCRAFT COMPANY","KAMOGI LTD, P.O.BOX 34,RUMURUTI, ","2005-12-31","VALID"
"5Y-BJI","PIPER PA25-235","25-7856015","PIPER AIRCRAFT COMPANY","FARMLAND DEVELOPMENT LTDP.O. BOX 2226NAKURU","","EXPIRED"
"5Y-BJN","ULTRA LIGHT","GV0030186-A2N2MPO166","","ULTRA LIGHT MACHINES KENYA (LTD)P.O. BOX 34304NAIROBI","","EXPIRED"
"5Y-BJO","ULTRA LIGHT","Q18018212B7-A2N2PP0066","","ULTRA LIGHT MACHINES KENYA (LTD) P.O. BOX 34304NAIROBI","","EXPIRED"
"5Y-BJR","GYROCOPTER","SA-M 16-03","","WILKEN LIMITED P.O. BOX 49428NAIROBI","","EXPIRED"
"5Y-BJS","CESSNA U206G","U20606337","CESSNA AIRCRAFT COMPANY","MESSRS WILLYROBERT&ANDY ROBERTSP.O BOX 161NANYUKI","1994-06-31","VALID"
"5Y-BJT","BALLOON CAMERON A315","3293","CAMERON BALLOONS LTD","BALLOON SAFARIS LTD P.O. BOX 43747 NAIROBI","","EXPIRED"
"5Y-BJU","PIPER PA 32 - 301","32-8006098","PIPER AIRCRAFT COMPANY","WILDERNESS TRAILS (K) LIMITED, PRIVATE BAG, ISIOLO, ","1994-07-31","VALID"
"5Y-BJV","PIPER PA 28-235","28-7610120","PIPER AIRCRAFT COMPANY","OWNER:WILDFIRE LTDP.O.BOX 379 NAIVASHA 20117","2007-10-31","VALID"
"5Y-BJX","MITSUBISHI MU2B","627","","DON BARNETT RATLIFTP. O. BOX 312NAIROBIWAYNE NJO 7474 ","","EXPIRED"
"5Y-BJY","PIPER PA.32","32-8124015","PIPER AIRCRAFT COMPANY","FRANCO ANTONY TUNDO P.O. BOX 198 MARALAL","2000-02-31","VALID"
"5Y-BJZ","CAMERON 0-105","1987","CAMERON BALLOONS LTD","BALLOON ABOUT P. O. BOX 41736 NAIROBI ","","EXPIRED"
"5Y-BKB","PIPER PA.31","31-776","PIPER AIRCRAFT COMPANY","GAZELLE AVIATION LTDP. O. BOX 11023NAIROBI","","EXPIRED"
"5Y-BKC","CESSNA 152","15284952","CESSNA AIRCRAFT COMPANY","1) SHABIR ARMED GULAM HUSSEIN FAKHI, 2) AFTAB MOHAMMED ASHRAF HASSAN MOHAMED, 3) TASNIM ASHLAF SHABIR (MRS) ,P. O. BOX 43746,NAIROBI, ","1994-11-31","VALID"
"5Y-BKD","CESSNA 152","15282293","CESSNA AIRCRAFT COMPANY","1) SHABIR AHMED HUSSEIN FAKHI 2) AFFAB MOHAMMED ASHRAF MOHAMMED 3) TASNIM ASHLAF SHABIR (MRS) P.O.BOX 43746NAIROBI.","1994-11-31","EXPIRED"
"5Y-BKE","CESSNA 172","172-70578","CESSNA AIRCRAFT COMPANY","MR. BASS JUSTIN PHILIP GRANTP. O. BOX 43233 NAIROBI","","EXPIRED"
"5Y-BKH","FOX CARGO","T-015","","PELTER ALEXIS P. O. BOX 34304 NAIROBI","","EXPIRED"
"5Y-BKI","ULTRA LIGHT FOX II","T-002","","PETER ALEXIS P. O. BOX 34304 NAIROBI","1999-09-31","EXPIRED"
"5Y-BKL","NAVION RANGEMASTER","2486","","THOMAS PATRICK GILBERT CHOLMONDELEYE DELAMERE ESTATES PRIVATE BAG BOX 20100NAKURU ","2007-06-31","EXPIRED"
"5Y-BKN","CESSNA F 406","F 406-001","CESSNA AIRCRAFT COMPANY","HOME GROWN KENYA LTD.P.O. BOX 10222NAIROBI.","1996-05-31","VALID"
"5Y-BKS","BEECH KINGAIR 200","BB-201","BEECH AIRCRAFT COMPANY","OWNER: HIGHVELD AVIATION (PTY)P.O. BOX 2882RADBURG 212JSOUTH AFRICALESSOR: BALMORAL CENTRAL CONTRACTS P.O. BOX 206UMHLANGA ROCK 4320 OUTH AFRICALESSEE: QUEENSWAY AIR SERVICES (K) LTDP.O. BOX 47518 NAIROBI","1995-08-31","EXPIRED"
"5Y-BKT","BEECH KINGAIR 200","BB-256","BEECH AIRCRAFT COMPANY","OWNER: L. W. SPARG AND R. REID P. O. BOX 206 UMHLANGA ROCK 4320 SOUTH AFRICA.LESSOR: BALMORAL CENTRAL CONTRACTS P. O. BOX UMHLANGA ROCK 4320 SOUTH AFRICA.LESSEE: QUEENSWAY AIR SERVICES (K) LTD P. O. BOX 42627 NAIROBI.","1996-09-31","EXPIRED"
"5Y-BKU","CAMERON A 2103","467","CAMERON BALLOONS LTD","BALLOON SAFARIS LTD P. O. BOX 43747 NAIROBI","","EXPIRED"
"5Y-BKV","CAMERON A-315","3412","CAMERON BALLOONS LTD","MARA BALLOON SAFARIS LTD.P. O. BOX 48217,NAIROBI","1995-10-31","EXPIRED"
"5Y-BKY","CESSNA U206","20605969","CESSNA AIRCRAFT COMPANY","DR. SHIRLEY C.STRUM P.O. BOX 62844 NAIROBI","1996-01-31","VALID"
"5Y-BKZ","CAMERON A-315","3684","CAMERON BALLOONS LTD","BALLOON SAFARIS LTD.P.O. BOX 43747 NAIROBI.","1996-02-31","EXPIRED"
"5Y-BLA","BEECH KINGAIR 200C","BL-10","BEECH AIRCRAFT COMPANY","OWNER: ALS LIMITED , P.O. BOX 41937 NAIROBI.FINANCIER:BARCLAYS BANK OF KENYA LTD,P.O.BOX 46661,NAIROBI","2005-03-31","VALID"
"5Y-BLB","DORNIER 128-6","6001","","OWNER: DEVON INVESTIMENT LTD 26 BATH STREET AT-HELLER JERSEY - CHANNEL ISLAND JE 24ST LESSEE: AIRCRAFT LEASING SERVICES LTD.P.O. BOX 41937, NAIROBI","","EXPIRED"
"5Y-BLD","CESSNA U206","U20602962","CESSNA AIRCRAFT COMPANY","AFRICAN INLAND MISSION INTL.P.O. BOX 21171NAIROBI.","1996-03-31","EXPIRED"
"5Y-BLF","GRUMMAN G-159","131","","OWNER/LESSOR: LA-RONGE AVIATION SERVICES LTD BOX 309, WATER VALLEY ALBERTA; CANADA TOM 2EOLESSEE: SKYWAYS KENYA LTD P.O. BOX 60878,NAIROBI.","","EXPIRED"
"5Y-BLG","CESSNA 210M","21061898","CESSNA AIRCRAFT COMPANY","AFRICAN INLAND MISSION (AIM) INTL. P.O. BOX 21171, NAIROBI.","2004-01-31","VALID"
"5Y-BLI","LBL 310A","387","","TRANSWORLD SAFARIS (K) LTD. P.O. BOX 44690, NAIROBI.","1996-08-31","EXPIRED"
"5Y-BLJ","LBL 180A","386","","TRANSWORLD SAFARIS (K) LTD., P.O. BOX 44690,, NAIROBI., ","1996-08-31","VALID"
"5Y-BLK","LBL 260A","385","","TRANSWORLD SAFARIS (K) LTD. P.O. BOX 44690 NAIROBI.","","EXPIRED"
"5Y-BLN","CESSNA 208B","208 B 0558","CESSNA AIRCRAFT COMPANY","EAST AFRICAN AIR CHARTERS LTDP.O. BOX 42730-00100NAIROBI.","2008-12-31","VALID"
"5Y-BLO","CESSNA U206","U20604453","CESSNA AIRCRAFT COMPANY","RICHARD DUNCAN KNIGHT P.O. BOX 42730-00100NAIROBI.","","EXPIRED"
"5Y-BLP","CAMERON A 315","3884","CAMERON BALLOONS LTD","BALLOON SAFARIS LTD. P.O. BOX 43747NAIROBI.","1992-08-31","EXPIRED"
"5Y-BLR","GULFSTREAM   G-159","34","","LESSOR: LEGION EXPRESS INC 4051 N.W MIANI FLORIDA U.S.A LESSEE: LEGION EXPRESS (K) LTD P.O. BOX 27710, NAIROBI.","","EXPIRED"
"5Y-BLS","LBL 310A","409","","MARA BALLOON SAFARIS, P. O. BOX 48217, NAIROBI, ","1992-01-31","EXPIRED"
"5Y-BLT","LBL 400A","412","","TRANSWORLD SAFARIS (K) LTD., P.O. BOX 44690,, NAIROBI., ","1996-12-31","VALID"
"5Y-BLU","LBL 400A","413","","TRANSWORLD SAFARIW (K) LTD., P.O. BOX 44690,, NAIROBI, ","1996-12-31","VALID"
"5Y-BLV","PIPER PA 28-","235","PIPER AIRCRAFT COMPANY","OWNER:GORDON RUSSEL MILLAR LIVE WIRE LTDP.O. BOX 791 NAIVASHA","2007-04-31","VALID"
"5Y-BLW","CAMERON A-315","3986","CAMERON BALLOONS LTD","BALOON SAFARIS LTD.P.O. BOX 43747,NAIROBI.","1997-01-31","EXPIRED"
